academic-cap,Add
Add Circle,AddCircle
Add,Antibody
alarm-bulb,ArrowBack
antibody,ArrowDiagonal
arm-robotic,ArrowDown
Arrow Back,ArrowForward
Arrow Diagonal,ArrowIosBack
Arrow Down,ArrowIosDown
Arrow Forward,ArrowIosForward
Arrow Ios Back,ArrowIosUp
Arrow Ios Down,ArrowUp
Arrow Ios Forward,BlackIce
Arrow Ios Up,Bookmark
Arrow Up,Brain
arrow-bar-chart,Building
arrow-box-delivery-belt,Calendar
arrow-circular,Call
arrow-diagonal-up,Cat
arrow-down-bottom,Cells
arrow-down,Chat
arrow-left,Check
arrow-right,CheckCircle
arrow-up,Chemical
arrows-circle,Clock
arrows-inwards,Cloudy
atom,Collaboration
badge-check,Colon
bag-cross,Countries
biohazard,Cow
Black Ice,Cross
boiler,CrossCircle
bookmark,DNA
boot-cap,Dissatisfied
boot-pair,Doctor
box-lid,DoctorsBag
boxes-connected,Document
brain,Dog
bucket-mop,Download
building-complex,Eco
building-high,Ecoli
building,Error
bulb-hands,Exclamationmark
calendar,Farmer
Call,Female
camera-surveillance,Fog
car-crash-streetlamp,Function
car-mark-tire,Gavel
car-plug,GenderNeutral
cat,Globe
cell-cluster,Group
Cells,Hail
chain-linked,Heart
chair-swivel,HeartUI
chairs-screen-table,HeavyRain
Chat,HeavySnowfall
Check Circle,HeavyStorm
check-circle,Horse
check,House
Chemical,Industry
chevron-down,Information
chevron-left,Infusion
chevron-right,Innovation
chevron-up,Kidney
chicken,LabResearch
circle-spikes,Language
circles-connected,Laptop
clipboard-pill,Link
clock,Liver
cloud-fog,Location
cloud-hail,Lock
cloud-heavy-rain,Lung
cloud-lightening-sun,Mail
cloud-lightening,Male
cloud-node,Medication
cloud-rain-snow,Menu
cloud-rain-sun,Mic
cloud-rain,Microscope
cloud-rainbow,Moon
cloud-snow,Neutral
cloud-sun,News
cloud-wind-sock,Pancreas
cloud-wind,Pause
clouds-lightening,PauseCircle
clouds-snow,Person
clouds,Pets
Cloudy,Pill
Collaboration,Play
Colon,PlayCircle
Countries,Poultry
cow,Prescription
Cross Circle,Presentation
cross-circle,Production
cross,Question
diabetes-monitor,Quotation
Dissatisfied,Rain
dna,Reactor
doctor,Refresh
Doctors Bag,Satisfied
Document,Science
dog-cat,Search
dog,Settings
door-open-wave,Share
Download,ShoppingCart
drone,Shrink
droplet,Smartphone
Eco,Snow
ecoli,SnowRain
envelope,Spinner
Error,Star
Exclamation mark,Statistics
exclamation-mark-circle,Stethoscope
exclamation-mark-triangle,Storm
exclamation-mark,StormSun
eye-slash,Stormy
eye,Strategy
factory,SunCloud
farmer,SunCloudRain
female-symbol,SunRise
Female,Sunny
flashlight,Swine
flask-setup,Syringe
Fog,Target
Function,Teaching
gauge-line,ThumbsDown
gavel,ThumbsUp
gear,ThumbsUpDown
Gender Neutral,Tools
gender-neutral-symbol,Trash
glass-flask,Unlock
glass-vial,VeryDissatisfied
glass-vials,VerySatisfied
globe,Vial
goggles-strap,Visibility
Group,VisibilityOff
Hail,Warning
hand-heart-cross,Windy
hand-open,Zoom-in
hands-angle,Zoom-out
handshake,
hardhat,
Heart UI,
heart-complex,
heart-simple,
Heart,
Heavy Rain,
Heavy Snowfall,
Heavy Storm,
hexagon-circles-connected,
horse,
hourglass,
house,
human-belt-steerwheel,
human-bending,
human-chipboard,
human-falling-backward,
human-group-table,
human-group,
human-handrail,
humans-speech-bubble,
hydrocarbon,
identification-card,
Industry,
information-mark-circle,
Information,
Infusion,
Innovation,
iv-drip,
key-double,
kidney,
Lab Research,
Language,
laptop,
large-intestine,
leaf-arrows,
lightbulb-radiate,
lightening-bolt,
lines-horizontal,
Link,
liver,
Location,
Lock,
loop-arrow,
lung,
magnifying-glass-minus,
magnifying-glass-plus,
magnifying-glass,
Mail,
male-symbol,
Male,
Medication,
megaphone,
Menu,
Mic,
microphone,
microscope,
monitor,
moon-crescent,
Moon,
navigation-pin,
Neutral,
News,
newspaper,
padlock-locked,
padlock-unlocked,
page,
paintbrush,
pancreas,
Pause Circle,
Pause,
people,
person-screen,
person,
Pets,
phone,
pig,
pill-bottle-slash,
pill-bottle,
pill,
plane,
planet-node,
planet,
plant-leaves,
plaster-double,
Play Circle,
Play,
plus-circle,
plus,
Poultry,
Prescription,
Presentation,
Production,
question-mark-circle,
Question,
quotation-mark,
Quotation,
Rain,
Reactor,
reagent-bottle,
rectangle-lines-diagonal,
rectangle-squares-connected,
Refresh,
rocket,
satellite-wave,
Satisfied,
scale,
Science,
screen-hand,
Search,
Settings,
Share,
shears-flower,
shield-node,
shield,
Shopping Cart,
shopping-cart,
Shrink,
signpost,
skull-bone,
smartphone,
smiley-distressed,
smiley-elated,
smiley-happy,
smiley-ill,
smiley-neutral,
smiley-sad,
Snow Rain,
Snow,
snowflake,
spanner-screwdriver,
speech-bubble,
sphygmomanometer,
Spinner,
square-cluster,
star,
Statistics,
stethoscope,
Storm Sun,
Storm,
Stormy,
Strategy,
Sun Cloud Rain,
Sun Cloud,
Sun Rise,
sun,
Sunny,
sunrise,
Swine,
syringe,
target-mark,
Target,
Teaching,
temple,
three-quarter-circle,
thumb-down,
thumb-up,
Thumbs Down,
Thumbs Up Down,
Thumbs Up,
thumbs-up-down,
Tools,
tornado,
trash-can,
Trash,
triangle-right-circle,
triangle-right,
turnstile-double,
turnstile,
Unlock,
vertical-lines-circle,
vertical-lines,
Very Dissatisfied,
Very Satisfied,
Vial,
Visibility Off,
Visibility,
Warning,
Windy,
worker-construction-female,
worker-construction-male,
worker-security,
Zoom-in,
Zoom-out,